language,kind,variant,pearson_r,n
he,checkpoint,dispersion_shifted,0.09477370307763011,33
he,checkpoint,dist_std,0.4234474998188627,33
he,checkpoint,gini,0.025824669603214615,33
he,checkpoint,iqr,0.05921645390028602,33
he,checkpoint,mad,0.3185987426869191,33
he,checkpoint,mpd,0.40737323652726715,33
he,checkpoint,mpsd,0.4906408131041183,33
he,checkpoint,projection,-0.40605190216202014,33
he,checkpoint,quartile_deviation,0.4245874029505302,33
he,checkpoint,range,0.37531190638657463,33
he,checkpoint,rel_dispersion,-0.1628698633807726,33
he,checkpoint,rel_mpd,-0.11122331047822798,33
he,checkpoint,rel_mpsd,0.3120025585864425,33
he,checkpoint,rel_star_discrepancy,-0.06593955137073221,32
he,checkpoint,rel_std,-0.09636288125007944,33
he,checkpoint,rms_deviation,0.4129298192377303,33
he,checkpoint,star_discrepancy,0.10684405133086965,32
he,checkpoint,star_discrepancy_shifted,0.00457431405224631,32
he,checkpoint,tukey,-0.5188021605819166,33
he,size,aad,0.42557801953865276,33
he,size,discrepancy,0.3327395985807272,32
he,size,dispersion,0.3357053563961922,33
he,size,dispersion_shifted,0.23457267831605952,33
he,size,dist_std,0.36142201720323686,33
he,size,gini,0.1883327333248752,33
he,size,iqr,0.316547317235573,33
he,size,mad,0.3723249456317905,33
he,size,mpd,0.3953223728200992,33
he,size,mpsd,0.37815296069191523,33
he,size,projection,-0.2778589146864173,33
he,size,quartile_deviation,0.4930520701558225,33
he,size,range,0.3357053563961922,33
he,size,rel_dispersion,-0.05651440696430248,33
he,size,rel_mpd,0.046236734182238316,33
he,size,rel_mpsd,0.24144375262484996,33
he,size,rel_star_discrepancy,0.4400736428193986,32
he,size,rel_std,0.04563220237916957,33
he,size,rms_deviation,0.38700117503537385,33
he,size,star_discrepancy,0.3815112531421888,32
he,size,star_discrepancy_shifted,-0.049846295241915146,32
he,size,tukey,-0.3268913638565147,33
hi,checkpoint,aad,0.39675107709621416,33
hi,checkpoint,discrepancy,0.22682551111006588,32
hi,checkpoint,dispersion,0.3828646625568307,33
hi,checkpoint,dispersion_shifted,0.23647091743049994,33
hi,checkpoint,dist_std,0.42506507579506503,33
hi,checkpoint,gini,0.2569663491017802,33
hi,checkpoint,iqr,0.17892011704321648,33
hi,checkpoint,mad,0.23102526356660133,33
hi,checkpoint,mpd,0.3885213011026132,33
hi,checkpoint,mpsd,0.23200992238752718,33
hi,checkpoint,projection,0.011443480047994111,33
hi,checkpoint,quartile_deviation,0.302399722603989,33
hi,checkpoint,range,0.3828646625568307,33
hi,checkpoint,rel_dispersion,0.26564832668256766,33
